Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
NOPSI  New Orleans,New-Orleans,558,8.7,5,"1,087",9.3,9.2,9.0,9.2,8.5,9.0,8.8,1.1,800,11,6.0,2,True
Pontchartrain  St. Charles Avenue,New-Orleans,649,8.8,4,198,9.2,9.2,9.3,9.1,8.3,8.6,8.4,2.2,1.4,13,4.0,2,True
The Mercantile ,New-Orleans,522,8.5,3,"1,330",9.1,8.8,8.8,8.8,8.6,8.6,8.5,900,1.3,11,4.0,1,False
 St. Marie,New-Orleans,546,8.8,3,519,9.5,9.0,9.0,9.1,8.5,8.8,8.4,600,750,10,4.0,1,False
International House ,New-Orleans,453,8.2,4,525,9.2,8.6,9.2,8.7,8.0,8.3,7.8,950,1.1,11,4.0,1,False
"Astor Crowne Plaza New Orleans French Quarter, Corner of Bourbon and Canal",New-Orleans,581,7.6,4,"2,130",9.0,8.0,8.3,8.1,7.6,7.8,,700,1.2,11,7.0,1,False
Place D'Armes ,New-Orleans,477,8.8,3,453,9.8,8.9,9.3,9.0,8.7,8.7,9.6,600,450,10,3.0,1,False
"Holiday Inn Express New Orleans - St Charles, an IHG ",New-Orleans,321,7.6,3,886,8.4,8.1,8.4,8.2,7.7,7.8,8.5,1.1,750,12,7.0,2,False
"Holiday Inn Club Vacations New Orleans Resort, an IHG ",New-Orleans,553,8.5,3,66,9.3,9.1,9.3,8.9,8.7,8.8,7.5,950,950,11,4.0,1,False
Dauphine Orleans ,New-Orleans,522,8.2,3,308,9.5,8.3,9.1,8.4,7.8,8.0,8.6,650,950,10,4.0,1,False
French Market Inn,New-Orleans,443,8.5,3,617,9.6,8.6,9.2,8.7,8.5,8.4,8.2,650,700,10,3.0,1,False
The Jung  and Residences,New-Orleans,464,8.5,3,"1,597",8.7,8.9,8.5,9.0,8.5,8.6,8.8,1.5,1.2,11,4.0,1,False
Prince Conti ,New-Orleans,512,8.6,3,397,9.6,8.9,9.1,8.9,8.6,8.6,9.1,650,950,10,4.0,1,False
"Holiday Inn Express New Orleans Downtown, an IHG ",New-Orleans,473,7.4,3,985,8.6,7.8,8.2,7.9,7.5,7.7,8.1,1.2,700,11,4.0,1,False
Pelham ,New-Orleans,519,8.1,3,"1,034",9.2,8.7,8.8,8.7,8.3,8.2,8.1,900,1.2,11,4.0,1,False
 Villa Convento,New-Orleans,533,8.3,3,698,9.5,8.4,9.4,8.4,8.6,8.1,8.9,700,250,10,6.0,1,False
Homewood Suites by Hilton New Orleans,New-Orleans,599,8.0,3,966,8.9,8.4,8.7,8.5,8.1,8.2,8.3,950,650,11,7.0,2,False
"Kimpton  Fontenot, an IHG Hotel",New-Orleans,815,8.8,4,89,9.4,9.2,9.4,9.2,8.6,9.2,7.5,850,1.1,11,7.0,2,True
 Mazarin,New-Orleans,615,8.3,4,790,9.5,8.6,8.9,8.8,8.1,8.3,8.9,800,1.1,11,5.0,2,False
Best Western Plus French Quarter Courtyard ,New-Orleans,522,8.2,4,"2,369",9.1,8.4,9.0,8.4,8.2,8.2,8.6,850,800,10,7.0,1,False
"The Higgins  New Orleans, Curio Collection By Hilton",New-Orleans,949,8.8,4,212,9.3,9.4,9.0,9.4,8.5,9.2,8.8,1.2,"1,000",12,6.0,1,False
MOXY New Orleans Downtown/French Quarter Area,New-Orleans,512,7.6,4,353,8.8,8.3,8.2,8.3,7.7,7.9,8.0,1.1,850,11,7.0,2,True
The Frenchmen,New-Orleans,632,8.3,0,53,9.5,8.8,9.0,8.5,7.8,8.3,10,1.1,350,9,9.0,1,False
Maison de la Luz,New-Orleans,"1,048",9.6,5,194,9.5,9.7,9.7,9.8,8.9,9.5,9.7,950,700,11,4.0,4,True
" Indigo New Orleans Garden District, an IHG Hotel",New-Orleans,553,8.1,4,369,9.0,8.6,8.4,8.6,8.3,8.3,8.2,2.4,1.5,13,7.0,1,True
The Royal Sonesta New Orleans,New-Orleans,908,8.2,4,"1,983",9.2,8.7,8.6,8.7,7.8,8.5,8.2,750,950,11,9.0,2,True
